"Relative Time","Pass"
"00:00","0"
"00:02","0"
"00:04","0.5"
"00:06","0"
"00:08","0"
"00:10","0.5"
"00:12","0"
"00:14","0.5"
"00:16","0"
"00:18","0"
"00:20","0.5"
"00:22","0"
"00:24","0"
"00:26","0"
"00:28","0"
"00:30","0"
"00:32","0"
"00:34","0"
"00:36","0"
"00:38","0"
"00:40","0"
"00:42","0"
"00:44","0"
"00:46","0"
"00:48","0"
"00:50","0"
"00:52","0"
"00:54","0"
"00:56","0"
"00:58","0"
"01:00","0"
"01:02","0"
"01:04","0"
"01:06","0"
"01:08","0"
"01:10","0"
"01:12","0"
"01:14","0"
"01:16","0"
"01:18","0"
"01:20","0"
"01:22","0"
"01:24","0"
"01:26","0"
"01:28","0.5"
"01:30","0.5"
"01:32","0"
"01:34","1"
"01:36","0"
"01:38","0.5"
"01:40","0.5"
"01:42","0.5"
"01:44","1"
